"","Home_Team","Away_Team","Indicator","Stadium","Attendance","Season","Date","Round"
"1","Melbourne City","Brisbane Roar","Hyundai A-League R1","AAMI Park",9589,"17/18","2017-10-06","1"
"2","Central Coast Mariners","Newcastle Jets","Hyundai A-League R1","Central Coast Stadium",12044,"17/18","2017-10-07","1"
"3","Melbourne Victory","Sydney FC","Hyundai A-League R1","Marvel Stadium",24804,"17/18","2017-10-07","1"
"4","Wellington Phoenix","Adelaide United","Hyundai A-League R1","Westpac Stadium",8154,"17/18","2017-10-08","1"
"5","Western Sydney Wanderers","Perth Glory","Hyundai A-League R1","Spotless Stadium",12223,"17/18","2017-10-08","1"
"6","Brisbane Roar","Adelaide United","Hyundai A-League R2","Suncorp Stadium",11178,"17/18","2017-10-13","2"
"7","Melbourne Victory","Melbourne City","Hyundai A-League R2","Marvel Stadium",35792,"17/18","2017-10-14","2"
"8","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R2","Spotless Stadium",11650,"17/18","2017-10-14","2"
"9","Newcastle Jets","Perth Glory","Hyundai A-League R2","McDonald Jones Stadium",16633,"17/18","2017-10-15","2"
"10","Sydney FC","Wellington Phoenix","Hyundai A-League R2","Allianz Stadium",11284,"17/18","2017-10-15","2"
"11","Adelaide United","Melbourne Victory","Hyundai A-League R3","Adelaide Oval",19416,"17/18","2017-10-20","3"
"12","Melbourne City","Wellington Phoenix","Hyundai A-League R3","AAMI Park",9091,"17/18","2017-10-21","3"
"13","Sydney FC","Western Sydney Wanderers","Hyundai A-League R3","Allianz Stadium",34810,"17/18","2017-10-21","3"
"14","Brisbane Roar","Newcastle Jets","Hyundai A-League R3","Suncorp Stadium",10104,"17/18","2017-10-22","3"
"15","Perth Glory","Central Coast Mariners","Hyundai A-League R3","HBF Park",12167,"17/18","2017-10-22","3"
"16","Sydney FC","Perth Glory","Hyundai A-League R4","Allianz Stadium",10063,"17/18","2017-10-27","4"
"17","Adelaide United","Melbourne City","Hyundai A-League R4","Coopers Stadium",11689,"17/18","2017-10-28","4"
"18","Wellington Phoenix","Brisbane Roar","Hyundai A-League R4","Westpac Stadium",7018,"17/18","2017-10-28","4"
"19","Central Coast Mariners","Melbourne Victory","Hyundai A-League R4","Central Coast Stadium",5519,"17/18","2017-10-29","4"
"20","Newcastle Jets","Western Sydney Wanderers","Hyundai A-League R4","McDonald Jones Stadium",11468,"17/18","2017-10-29","4"
"21","Melbourne City","Sydney FC","Hyundai A-League R5","AAMI Park",11034,"17/18","2017-11-03","5"
"22","Newcastle Jets","Wellington Phoenix","Hyundai A-League R5","McDonald Jones Stadium",6258,"17/18","2017-11-04","5"
"23","Perth Glory","Adelaide United","Hyundai A-League R5","HBF Park",11049,"17/18","2017-11-04","5"
"24","Brisbane Roar","Central Coast Mariners","Hyundai A-League R5","Suncorp Stadium",11485,"17/18","2017-11-05","5"
"25","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R5","Marvel Stadium",21577,"17/18","2017-11-06","5"
"26","Central Coast Mariners","Sydney FC","Hyundai A-League R6","Central Coast Stadium",7873,"17/18","2017-11-10","6"
"27","Adelaide United","Newcastle Jets","Hyundai A-League R6","Coopers Stadium",8416,"17/18","2017-11-11","6"
"28","Melbourne Victory","Brisbane Roar","Hyundai A-League R6","Marvel Stadium",18098,"17/18","2017-11-11","6"
"29","Melbourne City","Western Sydney Wanderers","Hyundai A-League R6","AAMI Park",7516,"17/18","2017-11-12","6"
"30","Wellington Phoenix","Perth Glory","Hyundai A-League R6","Westpac Stadium",6105,"17/18","2017-11-12","6"
"31","Central Coast Mariners","Adelaide United","Hyundai A-League R7","Central Coast Stadium",5073,"17/18","2017-11-16","7"
"32","Brisbane Roar","Melbourne City","Hyundai A-League R7","Suncorp Stadium",9285,"17/18","2017-11-17","7"
"33","Sydney FC","Newcastle Jets","Hyundai A-League R7","Allianz Stadium",11519,"17/18","2017-11-18","7"
"34","Western Sydney Wanderers","Wellington Phoenix","Hyundai A-League R7","ANZ Stadium",7127,"17/18","2018-02-11","7"
"35","Perth Glory","Melbourne Victory","Hyundai A-League R7","HBF Park",13565,"17/18","2017-11-19","7"
"36","Newcastle Jets","Melbourne Victory","Hyundai A-League R8","McDonald Jones Stadium",8427,"17/18","2017-11-23","8"
"37","Melbourne City","Perth Glory","Hyundai A-League R8","AAMI Park",6963,"17/18","2017-11-24","8"
"38","Adelaide United","Western Sydney Wanderers","Hyundai A-League R8","Coopers Stadium",8210,"17/18","2017-11-26","8"
"39","Wellington Phoenix","Central Coast Mariners","Hyundai A-League R8","Westpac Stadium",5679,"17/18","2017-11-25","8"
"40","Sydney FC","Brisbane Roar","Hyundai A-League R8","Allianz Stadium",10044,"17/18","2017-11-25","8"
"41","Adelaide United","Sydney FC","Hyundai A-League R9","Coopers Stadium",7021,"17/18","2017-12-01","9"
"42","Newcastle Jets","Melbourne City","Hyundai A-League R9","McDonald Jones Stadium",8108,"17/18","2017-12-02","9"
"43","Western Sydney Wanderers","Brisbane Roar","Hyundai A-League R9","ANZ Stadium",8215,"17/18","2017-12-02","9"
"44","Central Coast Mariners","Perth Glory","Hyundai A-League R9","Central Coast Stadium",8115,"17/18","2017-12-03","9"
"45","Wellington Phoenix","Melbourne Victory","Hyundai A-League R9","Westpac Stadium",5765,"17/18","2017-12-03","9"
"46","Melbourne Victory","Adelaide United","Hyundai A-League R10","Marvel Stadium",16778,"17/18","2017-12-08","10"
"47","Brisbane Roar","Wellington Phoenix","Hyundai A-League R10","Cbus Super Stadium",5192,"17/18","2017-12-09","10"
"48","Perth Glory","Newcastle Jets","Hyundai A-League R10","HBF Park",8063,"17/18","2017-12-09","10"
"49","Western Sydney Wanderers","Sydney FC","Hyundai A-League R10","ANZ Stadium",36433,"17/18","2017-12-09","10"
