"","Team1","Team2","Indicator1","Stadium_Clean1","Attendance_Clean1","Indicator2","Indicator3","Stadium_Clean2","Date","Attendance2","Attendance3","Attendance_Clean4"
"1","Melbourne City FC","Brisbane Roar FC","Hyundai A-League R1","AAMI Park","9,589","
						Hyundai A-League R1
						AAMI Park
					","Hyundai A-League R1","AAMI Park","2017-10-06T08:50:00+00:00","
							Attendance
							9,589
						","Attendance","9,589"
"2","Central Coast Mariners","Newcastle Jets","Hyundai A-League R1","Central Coast Stadium","12,044","
						Hyundai A-League R1
						Central Coast Stadium
					","Hyundai A-League R1","Central Coast Stadium","2017-10-07T06:35:00+00:00","
							Attendance
							12,044
						","Attendance","12,044"
"3","Melbourne Victory","Sydney FC","Hyundai A-League R1","Marvel Stadium","24,804","
						Hyundai A-League R1
						Marvel Stadium
					","Hyundai A-League R1","Marvel Stadium","2017-10-07T08:50:00+00:00","
							Attendance
							24,804
						","Attendance","24,804"
"4","Wellington Phoenix","Adelaide United","Hyundai A-League R1","Westpac Stadium","8,154","
						Hyundai A-League R1
						Westpac Stadium
					","Hyundai A-League R1","Westpac Stadium","2017-10-08T04:00:00+00:00","
							Attendance
							8,154
						","Attendance","8,154"
"5","Western Sydney Wanderers FC","Perth Glory","Hyundai A-League R1","Spotless Stadium","12,223","
						Hyundai A-League R1
						Spotless Stadium
					","Hyundai A-League R1","Spotless Stadium","2017-10-08T07:00:00+00:00","
							Attendance
							12,223
						","Attendance","12,223"
"6","Brisbane Roar FC","Adelaide United","Hyundai A-League R2","Suncorp Stadium","11,178","
						Hyundai A-League R2
						Suncorp Stadium
					","Hyundai A-League R2","Suncorp Stadium","2017-10-13T08:50:00+00:00","
							Attendance
							11,178
						","Attendance","11,178"
"7","Melbourne Victory","Melbourne City FC","Hyundai A-League R2","Marvel Stadium","35,792","
						Hyundai A-League R2
						Marvel Stadium
					","Hyundai A-League R2","Marvel Stadium","2017-10-14T08:50:00+00:00","
							Attendance
							35,792
						","Attendance","35,792"
"8","Western Sydney Wanderers FC","Central Coast Mariners","Hyundai A-League R2","Spotless Stadium","11,650","
						Hyundai A-League R2
						Spotless Stadium
					","Hyundai A-League R2","Spotless Stadium","2017-10-14T06:35:00+00:00","
							Attendance
							11,650
						","Attendance","11,650"
"9","Newcastle Jets","Perth Glory","Hyundai A-League R2","McDonald Jones Stadium","16,633","
						Hyundai A-League R2
						McDonald Jones Stadium
					","Hyundai A-League R2","McDonald Jones Stadium","2017-10-15T06:00:00+00:00","
							Attendance
							16,633
						","Attendance","16,633"
"10","Sydney FC","Wellington Phoenix","Hyundai A-League R2","Allianz Stadium","11,284","
						Hyundai A-League R2
						Allianz Stadium
					","Hyundai A-League R2","Allianz Stadium","2017-10-15T08:00:00+00:00","
							Attendance
							11,284
						","Attendance","11,284"
"11","Adelaide United","Melbourne Victory","Hyundai A-League R3","Adelaide Oval","19,416","
						Hyundai A-League R3
						Adelaide Oval
					","Hyundai A-League R3","Adelaide Oval","2017-10-20T08:50:00+00:00","
							Attendance
							19,416
						","Attendance","19,416"
"12","Melbourne City FC","Wellington Phoenix","Hyundai A-League R3","AAMI Park","9,091","
						Hyundai A-League R3
						AAMI Park
					","Hyundai A-League R3","AAMI Park","2017-10-21T06:35:00+00:00","
							Attendance
							9,091
						","Attendance","9,091"
"13","Sydney FC","Western Sydney Wanderers FC","Hyundai A-League R3","Allianz Stadium","34,810","
						Hyundai A-League R3
						Allianz Stadium
					","Hyundai A-League R3","Allianz Stadium","2017-10-21T08:50:00+00:00","
							Attendance
							34,810
						","Attendance","34,810"
"14","Brisbane Roar FC","Newcastle Jets","Hyundai A-League R3","Suncorp Stadium","10,104","
						Hyundai A-League R3
						Suncorp Stadium
					","Hyundai A-League R3","Suncorp Stadium","2017-10-22T06:00:00+00:00","
							Attendance
							10,104
						","Attendance","10,104"
"15","Perth Glory","Central Coast Mariners","Hyundai A-League R3","nib Stadium","12,167","
						Hyundai A-League R3
						nib Stadium
					","Hyundai A-League R3","nib Stadium","2017-10-22T08:00:00+00:00","
							Attendance
							12,167
						","Attendance","12,167"
"16","Sydney FC","Perth Glory","Hyundai A-League R4","Allianz Stadium","10,063","
						Hyundai A-League R4
						Allianz Stadium
					","Hyundai A-League R4","Allianz Stadium","2017-10-27T08:50:00+00:00","
							Attendance
							10,063
						","Attendance","10,063"
"17","Adelaide United","Melbourne City FC","Hyundai A-League R4","Coopers Stadium","11,689","
						Hyundai A-League R4
						Coopers Stadium
					","Hyundai A-League R4","Coopers Stadium","2017-10-28T08:50:00+00:00","
							Attendance
							11,689
						","Attendance","11,689"
"18","Wellington Phoenix","Brisbane Roar FC","Hyundai A-League R4","Westpac Stadium","7,018","
						Hyundai A-League R4
						Westpac Stadium
					","Hyundai A-League R4","Westpac Stadium","2017-10-28T06:35:00+00:00","
							Attendance
							7,018
						","Attendance","7,018"
"19","Central Coast Mariners","Melbourne Victory","Hyundai A-League R4","Central Coast Stadium","5,519","
						Hyundai A-League R4
						Central Coast Stadium
					","Hyundai A-League R4","Central Coast Stadium","2017-10-29T08:00:00+00:00","
							Attendance
							5,519
						","Attendance","5,519"
"20","Newcastle Jets","Western Sydney Wanderers FC","Hyundai A-League R4","McDonald Jones Stadium","11,468","
						Hyundai A-League R4
						McDonald Jones Stadium
					","Hyundai A-League R4","McDonald Jones Stadium","2017-10-29T06:00:00+00:00","
							Attendance
							11,468
						","Attendance","11,468"
