Round,Date,Home,Away,Score
Round 27,,,,
,28.04. 19:00,Perth Glory,Wellington Phoenix,5 : 0
,27.04. 19:50,WS Wanderers,Melbourne Victory,0 : 1
,27.04. 17:35,Newcastle Jets,Sydney FC,2 : 0
,26.04. 19:50,Melbourne City,Central Coast Mariners,5 : 0
,25.04. 14:00,Brisbane Roar,Adelaide United,3 : 5
Round 26,,,,
,21.04. 17:00,Wellington Phoenix,Melbourne City,3 : 2
,20.04. 19:50,Central Coast Mariners ,WS Wanderers,3 : 1
,20.04. 17:35,Brisbane Roar,Newcastle Jets,1 : 6
,19.04. 19:50,Adelaide United,Melbourne Victory,1 : 0
,18.04. 19:50,Sydney FC,Perth Glory,1 : 0
Round 25,,,,
,14.04. 19:00,Perth Glory,Newcastle Jets,1 : 0
,14.04. 17:00,Melbourne Victory,Central Coast Mariners,2 : 1
,13.04. 19:50,WS Wanderers,Sydney FC,1 : 1
,13.04. 17:35,Melbourne City,Adelaide United,0 : 0
,12.04. 19:50,Brisbane Roar ,Wellington Phoenix,2 : 1
Round 24,,,,
,07.04. 19:00,Central Coast Mariners,Perth Glory,0 : 3
,07.04. 17:00,Adelaide United ,Wellington Phoenix,3 : 1
,06.04. 19:50,Sydney FC,Melbourne Victory,2 : 1
,06.04. 17:35,Newcastle Jets,WS Wanderers,3 : 2
,05.04. 19:50,Melbourne City,Brisbane Roar,4 : 1
Round 23,,,,
,31.03. 17:00,Central Coast Mariners ,Adelaide United,0 : 1
,30.03. 22:00,Perth Glory,Melbourne Victory,0 : 2
,30.03. 19:50,WS Wanderers,Melbourne City,3 : 0
,30.03. 17:35,Wellington Phoenix,Newcastle Jets,4 : 1
,29.03. 19:50,Brisbane Roar,Sydney FC,1 : 3
Round 22,,,,
,17.03. 19:00,Sydney FC,Melbourne City,0 : 2
,17.03. 17:00,Wellington Phoenix ,WS Wanderers,3 : 1
,16.03. 19:50,Melbourne Victory,Brisbane Roar,2 : 1
,16.03. 17:35,Newcastle Jets,Central Coast Mariners,2 : 3
,15.03. 19:50,Adelaide United,Perth Glory,0 : 2
Round 21,,,,
,09.03. 19:50,Central Coast Mariners,Wellington Phoenix,2 : 8
,08.03. 19:50,Brisbane Roar,WS Wanderers,1 : 4
,03.03. 17:00,Melbourne City,Perth Glory,2 : 2
,02.03. 19:50,Melbourne Victory ,Newcastle Jets,0 : 2
,01.03. 19:50,Sydney FC,Adelaide United,2 : 0
Round 20,,,,
,24.02. 19:00,WS Wanderers,Perth Glory,1 : 1
,24.02. 17:00,Newcastle Jets,Adelaide United,0 : 0
,23.02. 19:50,Melbourne Victory ,Melbourne City,1 : 1
,23.02. 17:35,Wellington Phoenix,Sydney FC,0 : 1
,22.02. 19:50,Central Coast Mariners ,Brisbane Roar,3 : 5
Round 19,,,,
,17.02. 17:00,Sydney FC,Central Coast Mariners,1 : 1
,16.02. 22:00,Perth Glory,Brisbane Roar,4 : 0
,16.02. 19:50,Adelaide United,WS Wanderers,1 : 3
