"Round","Date","Home","Away","Season","Home_Score","Away_Score"
"Round 27","28.04. 19:00","Perth Glory","Wellington Phoenix","19","5 "," 0"
"Round 27","27.04. 19:50","WS Wanderers","Melbourne Victory","19","0 "," 1"
"Round 27","27.04. 17:35","Newcastle Jets","Sydney FC","19","2 "," 0"
"Round 27","26.04. 19:50","Melbourne City","Central Coast Mariners","19","5 "," 0"
"Round 27","25.04. 14:00","Brisbane Roar","Adelaide United","19","3 "," 5"
"Round 26","21.04. 17:00","Wellington Phoenix","Melbourne City","19","3 "," 2"
"Round 26","20.04. 19:50","Central Coast Mariners ","WS Wanderers","19","3 "," 1"
"Round 26","20.04. 17:35","Brisbane Roar","Newcastle Jets","19","1 "," 6"
"Round 26","19.04. 19:50","Adelaide United","Melbourne Victory","19","1 "," 0"
"Round 26","18.04. 19:50","Sydney FC","Perth Glory","19","1 "," 0"
"Round 25","14.04. 19:00","Perth Glory","Newcastle Jets","19","1 "," 0"
"Round 25","14.04. 17:00","Melbourne Victory","Central Coast Mariners","19","2 "," 1"
"Round 25","13.04. 19:50","WS Wanderers","Sydney FC","19","1 "," 1"
"Round 25","13.04. 17:35","Melbourne City","Adelaide United","19","0 "," 0"
"Round 25","12.04. 19:50","Brisbane Roar ","Wellington Phoenix","19","2 "," 1"
"Round 24","07.04. 19:00","Central Coast Mariners","Perth Glory","19","0 "," 3"
"Round 24","07.04. 17:00","Adelaide United ","Wellington Phoenix","19","3 "," 1"
"Round 24","06.04. 19:50","Sydney FC","Melbourne Victory","19","2 "," 1"
"Round 24","06.04. 17:35","Newcastle Jets","WS Wanderers","19","3 "," 2"
"Round 24","05.04. 19:50","Melbourne City","Brisbane Roar","19","4 "," 1"
"Round 23","31.03. 17:00","Central Coast Mariners ","Adelaide United","19","0 "," 1"
"Round 23","30.03. 22:00","Perth Glory","Melbourne Victory","19","0 "," 2"
"Round 23","30.03. 19:50","WS Wanderers","Melbourne City","19","3 "," 0"
"Round 23","30.03. 17:35","Wellington Phoenix","Newcastle Jets","19","4 "," 1"
"Round 23","29.03. 19:50","Brisbane Roar","Sydney FC","19","1 "," 3"
"Round 22","17.03. 19:00","Sydney FC","Melbourne City","19","0 "," 2"
"Round 22","17.03. 17:00","Wellington Phoenix ","WS Wanderers","19","3 "," 1"
"Round 22","16.03. 19:50","Melbourne Victory","Brisbane Roar","19","2 "," 1"
"Round 22","16.03. 17:35","Newcastle Jets","Central Coast Mariners","19","2 "," 3"
"Round 22","15.03. 19:50","Adelaide United","Perth Glory","19","0 "," 2"
"Round 21","09.03. 19:50","Central Coast Mariners","Wellington Phoenix","19","2 "," 8"
"Round 21","08.03. 19:50","Brisbane Roar","WS Wanderers","19","1 "," 4"
"Round 21","03.03. 17:00","Melbourne City","Perth Glory","19","2 "," 2"
"Round 21","02.03. 19:50","Melbourne Victory ","Newcastle Jets","19","0 "," 2"
"Round 21","01.03. 19:50","Sydney FC","Adelaide United","19","2 "," 0"
"Round 20","24.02. 19:00","WS Wanderers","Perth Glory","19","1 "," 1"
"Round 20","24.02. 17:00","Newcastle Jets","Adelaide United","19","0 "," 0"
"Round 20","23.02. 19:50","Melbourne Victory ","Melbourne City","19","1 "," 1"
"Round 20","23.02. 17:35","Wellington Phoenix","Sydney FC","19","0 "," 1"
"Round 20","22.02. 19:50","Central Coast Mariners ","Brisbane Roar","19","3 "," 5"
"Round 19","17.02. 17:00","Sydney FC","Central Coast Mariners","19","1 "," 1"
"Round 19","16.02. 22:00","Perth Glory","Brisbane Roar","19","4 "," 0"
"Round 19","16.02. 19:50","Adelaide United","WS Wanderers","19","1 "," 3"
"Round 19","15.02. 19:50","Newcastle Jets","Melbourne City","19","3 "," 1"
"Round 19","15.02. 17:35","Wellington Phoenix","Melbourne Victory","19","1 "," 1"
"Round 18","10.02. 17:00","Melbourne Victory","Perth Glory","19","1 "," 2"
"Round 18","09.02. 19:50","Melbourne City","Adelaide United","19","1 "," 1"
"Round 18","09.02. 17:35","WS Wanderers","Central Coast Mariners","19","2 "," 0"
"Round 18","08.02. 19:50","Brisbane Roar","Sydney FC","19","2 "," 1"
"Round 18","07.02. 19:50","Newcastle Jets","Wellington Phoenix","19","1 "," 1"
"Round 17","03.02. 17:00","Sydney FC","Melbourne City","19","2 "," 0"
"Round 17","02.02. 22:00","Perth Glory","Wellington Phoenix","19","3 "," 0"
"Round 17","02.02. 19:50","Adelaide United ","Brisbane Roar ","19","4 "," 3"
"Round 17","02.02. 17:35","Central Coast Mariners","Melbourne Victory","19","2 "," 3"
"Round 17","01.02. 19:50","WS Wanderers","Newcastle Jets","19","1 "," 5"
"Round 16","27.01. 20:00","Perth Glory","Newcastle Jets","19","2 "," 0"
"Round 16","27.01. 18:00","Adelaide United","Central Coast Mariners","19","2 "," 1"
"Round 16","26.01. 19:50","Melbourne Victory","Sydney FC","19","2 "," 1"
"Round 16","26.01. 17:35","Wellington Phoenix","Melbourne City","19","1 "," 0"
"Round 16","25.01. 19:50","Brisbane Roar","WS Wanderers","19","2 "," 2"
"Round 15","23.01. 22:00","Perth Glory","Adelaide United","19","0 "," 0"
"Round 15","23.01. 19:50","Newcastle Jets","Central Coast Mariners","19","1 "," 0"
"Round 15","23.01. 17:35","Wellington Phoenix","Sydney FC","19","0 "," 1"
"Round 15","22.01. 19:50","Melbourne City","WS Wanderers ","19","4 "," 3"
"Round 14","20.01. 19:00","Central Coast Mariners","Brisbane Roar","19","1 "," 1"
"Round 14","20.01. 17:00","Melbourne Victory","Wellington Phoenix","19","3 "," 3"
"Round 14","19.01. 19:50","Melbourne City","Perth Glory","19","0 "," 0"
"Round 14","19.01. 17:35","Sydney FC","Newcastle Jets ","19","1 "," 0"
"Round 14","18.01. 19:50","WS Wanderers","Adelaide United","19","1 "," 2"
"Round 12","16.01. 19:50","Central Coast Mariners","Melbourne City","19","2 "," 1"
"Round 15","15.01. 19:50","Brisbane Roar","Melbourne Victory","19","0 "," 5"
"Round 13","13.01. 20:00","Perth Glory","WS Wanderers","19","4 "," 3"
"Round 13","13.01. 18:00","Sydney FC","Adelaide United","19","2 "," 1"
