"","V1","V2","""https://www.a-league.com.au/match/id/""","URL"
"1","927942","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927942"
"2","927943","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927943"
"3","927944","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927944"
"4","927945","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927945"
"5","927946","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927946"
"6","927947","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927947"
"7","927948","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927948"
"8","927949","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927949"
"9","927950","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927950"
"10","927951","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927951"
"11","927952","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927952"
"12","927953","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927953"
"13","927954","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927954"
"14","927955","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927955"
"15","927956","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927956"
"16","927957","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927957"
"17","927958","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927958"
"18","927959","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927959"
"19","927960","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927960"
"20","927961","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927961"
"21","927962","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927962"
"22","927963","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927963"
"23","927964","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927964"
"24","927965","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927965"
"25","927966","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927966"
"26","927967","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927967"
"27","927968","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927968"
"28","927969","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927969"
"29","927970","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927970"
"30","927971","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927971"
"31","927972","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927972"
"32","927973","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927973"
"33","927974","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927974"
"34","927975","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927975"
"35","927976","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927976"
"36","927977","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927977"
"37","927978","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927978"
"38","927979","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927979"
"39","927980","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927980"
"40","927981","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927981"
"41","927982","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927982"
"42","927983","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927983"
"43","927984","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927984"
"44","927985","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927985"
"45","927986","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927986"
"46","927987","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927987"
"47","927988","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927988"
"48","927989","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927989"
"49","927990","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927990"
"50","927991","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927991"
"51","927992","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927992"
"52","927993","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927993"
"53","927994","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927994"
"54","927995","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927995"
"55","927996","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927996"
"56","927997","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927997"
"57","927998","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927998"
"58","927999","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/927999"
"59","928000","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928000"
"60","928001","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928001"
"61","928002","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928002"
"62","928003","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928003"
"63","928004","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928004"
"64","928005","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928005"
"65","928006","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928006"
"66","928007","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928007"
"67","928008","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928008"
"68","928009","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928009"
"69","928010","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928010"
"70","928011","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928011"
"71","928012","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928012"
"72","928013","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928013"
"73","928014","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928014"
"74","928015","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928015"
"75","928016","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928016"
"76","928017","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928017"
"77","928018","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928018"
"78","928019","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928019"
"79","928020","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928020"
"80","928021","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928021"
"81","928022","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928022"
"82","928023","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928023"
"83","928024","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928024"
"84","928025","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928025"
"85","928026","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928026"
"86","928027","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928027"
"87","928028","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928028"
"88","928029","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928029"
"89","928030","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928030"
"90","928031","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928031"
"91","928032","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928032"
"92","928033","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928033"
"93","928034","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928034"
"94","928035","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928035"
"95","928036","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928036"
"96","928037","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928037"
"97","928038","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928038"
"98","928039","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928039"
"99","928040","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928040"
"100","928041","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928041"
"101","928042","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928042"
"102","928043","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928043"
"103","928044","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928044"
"104","928045","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928045"
"105","928046","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928046"
"106","928047","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928047"
"107","928048","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928048"
"108","928049","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928049"
"109","928050","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928050"
"110","928051","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928051"
"111","928052","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928052"
"112","928053","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928053"
"113","928054","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928054"
"114","928055","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928055"
"115","928056","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928056"
"116","928057","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928057"
"117","928058","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928058"
"118","928059","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928059"
"119","928060","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928060"
"120","928061","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928061"
"121","928062","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928062"
"122","928063","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928063"
"123","928064","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928064"
"124","928065","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928065"
"125","928066","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928066"
"126","928067","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928067"
"127","928068","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928068"
"128","928069","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928069"
"129","928070","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928070"
"130","928071","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928071"
"131","928072","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928072"
"132","928073","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928073"
"133","928074","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928074"
"134","928075","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928075"
"135","928076","17/18","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/928076"
"136","854325","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854325"
"137","854326","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854326"
"138","854327","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854327"
"139","854328","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854328"
"140","854329","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854329"
"141","854330","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854330"
"142","854331","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854331"
"143","854332","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854332"
"144","854333","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854333"
"145","854334","16/17","https://www.a-league.com.au/match/id/","https://www.a-league.com.au/match/id/854334"
